DATE,TIME,TMP
3/1/11,13:00,-0.7
3/1/11,14:00,0.4
3/1/11,15:00,0.6
3/1/11,16:00,0.5
3/1/11,17:00,0.5
3/1/11,18:00,-0.1
3/1/11,19:00,-0.8
3/1/11,20:00,-0.7
3/1/11,21:00,-0.9
3/1/11,22:00,-0.8
3/1/11,23:00,-0.8
3/1/11,0:00,-0.8
4/1/11,1:00,-0.7
4/1/11,2:00,-0.8
4/1/11,3:00,-1.1
4/1/11,4:00,-0.9
4/1/11,5:00,-1.5
4/1/11,6:00,-1.4
4/1/11,7:00,-1.2
4/1/11,8:00,-1.3
4/1/11,9:00,-1.4
4/1/11,10:00,-1
4/1/11,11:00,-0.1
4/1/11,12:00,0.2
4/1/11,13:00,0.1
4/1/11,14:00,-2.5
4/1/11,15:00,-2.8
4/1/11,16:00,-3.1
4/1/11,17:00,-3.8
4/1/11,18:00,-4.6
4/1/11,19:00,-5.4
4/1/11,20:00,-5.9
4/1/11,21:00,-6.1
4/1/11,22:00,-6.4
4/1/11,23:00,-6.2
4/1/11,0:00,-6
5/1/11,1:00,-6.4
5/1/11,2:00,-8.3
5/1/11,3:00,-10.6
5/1/11,4:00,-11.6
5/1/11,5:00,-12
5/1/11,6:00,-12.8
5/1/11,7:00,-12.9
5/1/11,8:00,-11.1
5/1/11,9:00,-8.8
5/1/11,10:00,-7.2
5/1/11,11:00,-6.8
5/1/11,12:00,-6.3
5/1/11,13:00,-5.7
5/1/11,14:00,-5.7
5/1/11,15:00,-5.2
5/1/11,16:00,-5.4
5/1/11,17:00,-5.6
5/1/11,18:00,-5.9
5/1/11,19:00,-6.3
5/1/11,20:00,-6.7
5/1/11,21:00,-6.4
5/1/11,22:00,-6.5
5/1/11,23:00,-6.4
5/1/11,0:00,-6.3
6/1/11,1:00,-6
6/1/11,2:00,-5.7
6/1/11,3:00,-5.6
6/1/11,4:00,-5.1
6/1/11,5:00,-4.2
6/1/11,6:00,-3.4
6/1/11,7:00,-3
6/1/11,8:00,-2.8
6/1/11,9:00,-2.8
6/1/11,10:00,-3
6/1/11,11:00,-3
6/1/11,12:00,-3.4
6/1/11,13:00,-4
6/1/11,14:00,-4.4
6/1/11,15:00,-4.2
6/1/11,16:00,-4.3
6/1/11,17:00,-4.9
6/1/11,18:00,-5.3
6/1/11,19:00,-5.6
6/1/11,20:00,-6.1
6/1/11,21:00,-6.5
6/1/11,22:00,-7
6/1/11,23:00,-7.3
6/1/11,0:00,-7.6
7/1/11,1:00,-7.9
7/1/11,2:00,-8.1
7/1/11,3:00,-8.1
7/1/11,4:00,-8.2
7/1/11,5:00,-8.2
7/1/11,6:00,-8
7/1/11,7:00,-8
7/1/11,8:00,-8.1
7/1/11,9:00,-8.2
7/1/11,10:00,-8.2
7/1/11,11:00,-8
7/1/11,12:00,-7.3
7/1/11,13:00,-7.5
7/1/11,14:00,-7.3
7/1/11,15:00,-6.9
7/1/11,16:00,-6.8
7/1/11,17:00,-7.5
7/1/11,18:00,-8
7/1/11,19:00,-8.4
7/1/11,20:00,-9
7/1/11,21:00,-9.8
7/1/11,22:00,-10.5
7/1/11,23:00,-10.8
7/1/11,0:00,-12.2
8/1/11,1:00,-13.4
8/1/11,2:00,-14.7
8/1/11,3:00,-14.2
8/1/11,4:00,-15.5
8/1/11,5:00,-16
8/1/11,6:00,-16.5
8/1/11,7:00,-17.8
8/1/11,8:00,-18.2
8/1/11,9:00,-18.6
8/1/11,10:00,-15.3
8/1/11,11:00,-11.1
8/1/11,12:00,-7.7
8/1/11,13:00,-5.8
8/1/11,14:00,-5.2
8/1/11,15:00,-5.6
8/1/11,16:00,-5.4
8/1/11,17:00,-5.7
8/1/11,18:00,-7.5
8/1/11,19:00,-9.3
8/1/11,20:00,-10.6
8/1/11,21:00,-11.3
8/1/11,22:00,-13
8/1/11,23:00,-13.7
8/1/11,0:00,-14
9/1/11,1:00,-14.6
9/1/11,2:00,-16
9/1/11,3:00,-16.9
9/1/11,4:00,-16.9
9/1/11,5:00,-17.1
9/1/11,6:00,-17.7
9/1/11,7:00,-18
9/1/11,8:00,-17.8
9/1/11,9:00,-18
9/1/11,10:00,-13.6
9/1/11,11:00,-8.6
9/1/11,12:00,-5.9
9/1/11,13:00,-4.3
9/1/11,14:00,-3.2
9/1/11,15:00,-3.2
9/1/11,16:00,-3
9/1/11,17:00,-3.5
9/1/11,18:00,-5.8
9/1/11,19:00,-9
9/1/11,20:00,-10.6
9/1/11,21:00,-12
9/1/11,22:00,-13.1
9/1/11,23:00,-11.2
9/1/11,0:00,-9.5
10/1/11,1:00,-9.8
10/1/11,2:00,-10.8
10/1/11,3:00,-12.8
10/1/11,4:00,-13.8
10/1/11,5:00,-14.5
10/1/11,6:00,-14.8
10/1/11,7:00,-14.7
10/1/11,8:00,-14
10/1/11,9:00,-13.1
10/1/11,10:00,-9.8
10/1/11,11:00,-7.5
10/1/11,12:00,-4.9
10/1/11,13:00,-1.9
10/1/11,14:00,-1.7
10/1/11,15:00,-2.1
10/1/11,16:00,-2.5
10/1/11,17:00,-3.7
10/1/11,18:00,-5.7
10/1/11,19:00,-6.9
10/1/11,20:00,-7.8
10/1/11,21:00,-7.7
10/1/11,22:00,-7.5
10/1/11,23:00,-7.7
10/1/11,0:00,-7.9
11/1/11,1:00,-8.2
11/1/11,2:00,-8.2
11/1/11,3:00,-7.7
11/1/11,4:00,-7.3
11/1/11,5:00,-7.1
11/1/11,6:00,-6.8
11/1/11,7:00,-6.7
11/1/11,8:00,-6.8
11/1/11,9:00,-6.7
11/1/11,10:00,-6
11/1/11,11:00,-5.4
11/1/11,12:00,-5.3
11/1/11,13:00,-4.8
11/1/11,14:00,-4.6
11/1/11,15:00,-4.8
11/1/11,16:00,-4.6
11/1/11,17:00,-4.9
11/1/11,18:00,-5.2
11/1/11,19:00,-5.3
11/1/11,20:00,-5.1
11/1/11,21:00,-5.1
11/1/11,22:00,-5.1
11/1/11,23:00,-5.1
11/1/11,0:00,-4.7
12/1/11,1:00,-4.2
12/1/11,2:00,-4.5
12/1/11,3:00,-4.9
12/1/11,4:00,-4.9
12/1/11,5:00,-5.2
12/1/11,6:00,-5.8
12/1/11,7:00,-6.8
12/1/11,8:00,-7.5
12/1/11,9:00,-8.1
12/1/11,10:00,-7.3
12/1/11,11:00,-5
12/1/11,12:00,-3.6
12/1/11,13:00,-2.3
12/1/11,14:00,-1.8
12/1/11,15:00,-1.5
12/1/11,16:00,-2.4
12/1/11,17:00,-3.3
12/1/11,18:00,-4.3
12/1/11,19:00,-5.5
12/1/11,20:00,-6.2
12/1/11,21:00,-6.4
12/1/11,22:00,-7
12/1/11,23:00,-9.1
12/1/11,0:00,-11.7
01/13/2011,1:00,-12.4
01/13/2011,2:00,-14
01/13/2011,3:00,-15.2
01/13/2011,4:00,-14.2
01/13/2011,5:00,-10.8
01/13/2011,6:00,-9.6
01/13/2011,7:00,-9.1
01/13/2011,8:00,-8.6
01/13/2011,9:00,-8.2
01/13/2011,10:00,-6.7
01/13/2011,11:00,-5.5
01/13/2011,12:00,-4.7
01/13/2011,13:00,-4
01/13/2011,14:00,-3.8
01/13/2011,15:00,-3.6
01/13/2011,16:00,-4
01/13/2011,17:00,-4.5
01/13/2011,18:00,-5
01/13/2011,19:00,-5.3
01/13/2011,20:00,-5.9
01/13/2011,21:00,-6.4
01/13/2011,22:00,-6.9
01/13/2011,23:00,-7.5
01/13/2011,0:00,-8.2
01/14/2011,1:00,-8.9
01/14/2011,2:00,-9.6
01/14/2011,3:00,-9.6
01/14/2011,4:00,-9.7
01/14/2011,5:00,-9.7
01/14/2011,6:00,-9.7
01/14/2011,7:00,-9.8
